DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATall,SATmath
13K430,2.0,6.0,8.0,3.0,0.0,1.8,7.8,7.6,6.2,2.2,40.688834,-73.976905,611.0,659.0
13K430,2.0,6.0,9.0,5.0,1.0,2.6,10.4,14.8,9.2,2.4,40.688834,-73.976905,611.0,659.0
13K430,0.0,4.0,6.0,0.0,2.0,0.33,6.67,7.0,3.33,2.0,40.688834,-73.976905,611.0,659.0
19K510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.667456,-73.894747,368.6666666666667,365.0
19K507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.667456,-73.894747,383.0,386.0
19K504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.667456,-73.894747,351.3333333333333,349.0
19K502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.667456,-73.894747,341.0,349.0
17K528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670349,-73.96169499999999,392.0,385.0
17K524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670349,-73.96169499999999,304.3333333333333,335.0
17K548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670349,-73.96169499999999,383.6666666666667,393.0
17K547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670349,-73.96169499999999,381.0,382.0
20K445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.613262,-74.003404,424.0,471.0
20K445,1.0,5.0,14.0,4.0,2.0,1.57,7.21,14.07,5.14,2.57,40.613262,-74.003404,424.0,471.0
20K445,0.0,5.0,21.0,0.0,2.0,1.13,8.47,15.33,3.8,3.07,40.613262,-74.003404,424.0,471.0
14K478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.712184,-73.939722,405.0,421.0
14K477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.712184,-73.939722,401.3333333333333,396.0
14K474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.712184,-73.939722,371.3333333333333,379.0
16K455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67944,-73.932407,365.6666666666667,370.0
13K553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.685004,-73.947152,399.0,383.0
13K575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.685004,-73.947152,394.3333333333333,391.0
15K462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.669629,-73.979287,401.0,411.0
15K463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.669629,-73.979287,389.6666666666667,391.0
15K464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.669629,-73.979287,391.6666666666667,416.0
17K543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.649786999999996,-73.95855,453.3333333333333,462.0
17K537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.649786999999996,-73.95855,342.3333333333333,349.0
17K539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.649786999999996,-73.95855,368.3333333333333,375.0
32K549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.69697,-73.910791,345.0,353.0
17K408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.649786999999996,-73.95855,348.3333333333333,342.0
17K382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.649786999999996,-73.95855,379.6666666666667,374.0
17K531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658893,-73.942458,362.6666666666667,381.0
17K533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658893,-73.942458,384.3333333333333,404.0
17K544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658893,-73.942458,382.0,391.0
17K546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658893,-73.942458,424.3333333333333,441.0
32K552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.69697,-73.910791,353.3333333333333,364.0
32K403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.69697,-73.910791,366.0,366.0
20K485,0.0,3.0,2.0,2.0,0.0,0.86,3.26,5.55,2.17,1.29,40.637282,-74.023849,441.0,474.0
20K485,0.0,3.0,7.0,2.0,0.0,0.89,3.22,5.07,2.18,1.64,40.637282,-74.023849,441.0,474.0
20K485,0.0,2.0,3.0,1.0,1.0,0.64,3.02,5.77,1.72,1.54,40.637282,-74.023849,441.0,474.0
20K490,1.0,10.0,7.0,9.0,1.0,1.8,7.8,7.6,6.2,2.2,40.627835,-74.04004599999999,435.3333333333333,478.0
20K490,3.0,6.0,12.0,6.0,3.0,2.6,10.4,14.8,9.2,2.4,40.627835,-74.04004599999999,435.3333333333333,478.0
20K490,1.0,9.0,10.0,6.0,3.0,0.33,6.67,7.0,3.33,2.0,40.627835,-74.04004599999999,435.3333333333333,478.0
22K495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.594124,-73.937696,381.6666666666667,392.0
18K642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.641474,-73.89825400000001,378.3333333333333,385.0
18K633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.641474,-73.89825400000001,386.3333333333333,380.0
18K617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.641474,-73.89825400000001,394.3333333333333,393.0
20K658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.620446,-73.98179499999999,377.0,477.0
20K505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.620446,-73.98179499999999,414.6666666666667,486.0
18K576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.633285,-73.916735,381.0,377.0
18K567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.633285,-73.916735,372.6666666666667,358.0
18K566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.633285,-73.916735,381.6666666666667,377.0
18K578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.633285,-73.916735,365.6666666666667,362.0
18K637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.633285,-73.916735,370.3333333333333,381.0
21K525,2.0,8.0,6.0,8.0,2.0,1.8,7.8,7.6,6.2,2.2,40.620525,-73.959285,477.0,496.0
21K525,4.0,9.0,16.0,11.0,1.0,2.6,10.4,14.8,9.2,2.4,40.620525,-73.959285,477.0,496.0
21K525,1.0,8.0,8.0,4.0,2.0,1.13,8.47,15.33,3.8,3.07,40.620525,-73.959285,477.0,496.0
22K535,0.0,0.0,0.0,0.0,0.0,0.56,2.4,3.56,1.36,1.05,40.580894,-73.935952,542.3333333333334,561.0
22K535,0.0,0.0,0.0,0.0,0.0,0.48,2.19,3.69,1.29,1.0,40.580894,-73.935952,542.3333333333334,561.0
22K535,0.0,0.0,0.0,0.0,0.0,0.57,2.12,3.64,1.39,1.05,40.580894,-73.935952,542.3333333333334,561.0
21K540,3.0,8.0,10.0,3.0,8.0,0.81,5.43,8.48,3.24,2.33,40.589268,-73.981738,420.6666666666667,468.0
21K540,1.0,8.0,5.0,5.0,4.0,1.96,7.74,16.07,5.48,3.44,40.589268,-73.981738,420.6666666666667,468.0
21K540,0.0,12.0,13.0,4.0,7.0,1.69,7.16,17.44,3.63,3.94,40.589268,-73.981738,420.6666666666667,468.0
32K554,0.0,0.0,1.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.69737,-73.91317099999999,438.3333333333333,465.0
32K554,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.69737,-73.91317099999999,438.3333333333333,465.0
32K554,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.69737,-73.91317099999999,438.3333333333333,465.0
13K605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.694926,-73.98601500000001,396.3333333333333,391.0
13K674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.694926,-73.98601500000001,451.0,499.0
17K590,2.0,4.0,2.0,5.0,1.0,0.56,2.4,3.56,1.36,1.05,40.667195,-73.951167,478.6666666666667,481.0
17K590,1.0,3.0,1.0,3.0,0.0,0.89,3.22,5.07,2.18,1.64,40.667195,-73.951167,478.6666666666667,481.0
17K590,0.0,2.0,2.0,2.0,0.0,0.57,2.12,3.64,1.39,1.05,40.667195,-73.951167,478.6666666666667,481.0
17K600,0.0,7.0,14.0,3.0,4.0,0.81,3.95,6.51,2.3,1.78,40.669567,-73.961962,417.0,413.0
17K600,5.0,11.0,19.0,5.0,11.0,0.89,3.22,5.07,2.18,1.64,40.669567,-73.961962,417.0,413.0
17K600,4.0,8.0,13.0,1.0,10.0,0.64,3.02,5.77,1.72,1.54,40.669567,-73.961962,417.0,413.0
14K632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.721981,-73.953281,374.0,372.0
14K610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.721981,-73.953281,364.3333333333333,376.0
19K615,0.0,2.0,16.0,0.0,1.0,0.56,2.4,3.56,1.36,1.05,40.678276000000004,-73.87595999999999,397.6666666666667,418.0
19K615,0.0,10.0,6.0,6.0,4.0,0.48,2.19,3.69,1.29,1.0,40.678276000000004,-73.87595999999999,397.6666666666667,418.0
19K615,3.0,8.0,9.0,2.0,8.0,0.57,2.12,3.64,1.39,1.05,40.678276000000004,-73.87595999999999,397.6666666666667,418.0
21K620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.582584999999995,-73.963477,394.6666666666667,414.0
21K620,5.0,6.0,13.0,7.0,3.0,0.31,1.12,1.82,0.79,0.51,40.582584999999995,-73.963477,394.6666666666667,414.0
21K620,3.0,1.0,10.0,1.0,3.0,0.28,1.11,1.74,0.75,0.53,40.582584999999995,-73.963477,394.6666666666667,414.0
17K625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.675612,-73.938843,361.0,363.0
14K561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.715073,-73.95475400000001,395.6666666666667,410.0
14K558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.715073,-73.95475400000001,370.6666666666667,385.0
14K488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.715073,-73.95475400000001,363.3333333333333,373.0
15K656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.683559,-73.98026999999999,419.3333333333333,421.0
19K660,0.0,8.0,12.0,0.0,6.0,0.35,1.06,1.09,0.73,0.5,40.674135,-73.89643000000001,367.3333333333333,369.0
19K660,1.0,0.0,2.0,0.0,1.0,0.31,1.12,1.82,0.79,0.51,40.674135,-73.89643000000001,367.3333333333333,369.0
19K660,2.0,1.0,8.0,1.0,1.0,0.27,0.9,1.67,0.63,0.44,40.674135,-73.89643000000001,367.3333333333333,369.0
21K690,0.0,3.0,4.0,1.0,1.0,0.52,1.71,2.49,1.16,0.75,40.604879,-73.994404,437.6666666666667,449.0
21K690,0.0,0.0,1.0,0.0,0.0,0.46,1.65,2.77,1.17,0.75,40.604879,-73.994404,437.6666666666667,449.0
21K690,0.0,2.0,3.0,0.0,1.0,0.38,1.71,2.38,0.98,0.82,40.604879,-73.994404,437.6666666666667,449.0
21K728,0.0,2.0,3.0,2.0,0.0,0.43,1.03,1.23,0.99,0.41,40.577208,-73.98595300000001,384.3333333333333,369.0
21K728,0.0,0.0,7.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,40.577208,-73.98595300000001,384.3333333333333,369.0
21K728,2.0,1.0,3.0,2.0,0.0,0.24,0.71,1.71,0.51,0.32,40.577208,-73.98595300000001,384.3333333333333,369.0
14K685,0.0,1.0,0.0,1.0,0.0,0.43,1.03,1.23,0.99,0.41,40.705898,-73.955611,345.0,335.0
14K685,2.0,2.0,2.0,4.0,0.0,0.36,0.76,1.17,0.64,0.37,40.705898,-73.955611,345.0,335.0
14K685,0.0,1.0,1.0,1.0,0.0,0.24,0.71,1.71,0.51,0.32,40.705898,-73.955611,345.0,335.0
15K519,3.0,3.0,4.0,1.0,5.0,0.33,1.32,1.76,0.83,0.59,40.684523999999996,-73.990993,395.0,402.0
15K519,0.0,2.0,5.0,0.0,2.0,0.31,1.12,1.82,0.79,0.51,40.684523999999996,-73.990993,395.0,402.0
15K519,0.0,4.0,16.0,0.0,4.0,0.28,1.11,1.74,0.75,0.53,40.684523999999996,-73.990993,395.0,402.0
13K350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697339,-73.985016,360.0,364.0
13K419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697339,-73.985016,403.6666666666667,417.0
13K439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.697339,-73.985016,327.0,364.0
15K530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.686499,-73.979649,367.0,365.0
19K409,0.0,0.0,1.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.661072,-73.886942,414.0,432.0
19K409,0.0,0.0,2.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.661072,-73.886942,414.0,432.0
19K409,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.661072,-73.886942,414.0,432.0
17K489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6701,-73.954972,364.0,364.0
17K489,1.0,1.0,1.0,2.0,0.0,0.36,0.76,1.17,0.64,0.37,40.6701,-73.954972,364.0,364.0
17K489,0.0,2.0,4.0,0.0,1.0,0.24,0.71,1.71,0.51,0.32,40.6701,-73.954972,364.0,364.0
15K698,0.0,0.0,1.0,0.0,0.0,0.43,1.03,1.23,0.99,0.41,40.677969,-74.014363,423.6666666666667,416.0
15K698,0.0,1.0,0.0,1.0,0.0,0.36,0.76,1.17,0.64,0.37,40.677969,-74.014363,423.6666666666667,416.0
15K698,0.0,2.0,1.0,1.0,1.0,0.24,0.71,1.71,0.51,0.32,40.677969,-74.014363,423.6666666666667,416.0
18K673,2.0,2.0,1.0,4.0,0.0,0.43,1.03,1.23,0.99,0.41,40.65911,-73.92036800000001,397.0,403.0
18K673,0.0,1.0,3.0,0.0,1.0,0.36,0.76,1.17,0.64,0.37,40.65911,-73.92036800000001,397.0,403.0
18K673,0.0,0.0,5.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.65911,-73.92036800000001,397.0,403.0
32K556,0.0,1.0,0.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.695056,-73.92814,351.6666666666667,358.0
32K556,1.0,0.0,2.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.695056,-73.92814,351.6666666666667,358.0
32K556,0.0,3.0,5.0,0.0,2.0,0.27,0.9,1.67,0.63,0.44,40.695056,-73.92814,351.6666666666667,358.0
23K646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67715,-73.903953,331.0,371.0
23K646,4.0,4.0,7.0,6.0,1.0,0.36,0.76,1.17,0.64,0.37,40.67715,-73.903953,331.0,371.0
23K646,2.0,3.0,18.0,2.0,2.0,0.24,0.71,1.71,0.51,0.32,40.67715,-73.903953,331.0,371.0
17K568,1.0,3.0,6.0,4.0,0.0,0.43,1.03,1.23,0.99,0.41,40.666517999999996,-73.92405699999999,354.3333333333333,356.0
17K568,0.0,4.0,3.0,1.0,3.0,0.36,0.76,1.17,0.64,0.37,40.666517999999996,-73.92405699999999,354.3333333333333,356.0
17K568,0.0,3.0,9.0,2.0,1.0,0.24,0.71,1.71,0.51,0.32,40.666517999999996,-73.92405699999999,354.3333333333333,356.0
13K499,3.0,2.0,9.0,2.0,2.0,0.33,1.32,1.76,0.83,0.59,40.678488,-73.96210500000001,372.0,364.0
13K499,1.0,5.0,6.0,4.0,1.0,0.31,1.12,1.82,0.79,0.51,40.678488,-73.96210500000001,372.0,364.0
13K499,1.0,2.0,3.0,2.0,1.0,0.27,0.9,1.67,0.63,0.44,40.678488,-73.96210500000001,372.0,364.0
32K545,0.0,2.0,2.0,1.0,1.0,0.33,1.32,1.76,0.83,0.59,40.694507,-73.929107,384.6666666666667,409.0
32K545,0.0,2.0,5.0,1.0,1.0,0.31,1.12,1.82,0.79,0.51,40.694507,-73.929107,384.6666666666667,409.0
32K545,1.0,2.0,5.0,1.0,2.0,0.28,1.11,1.74,0.75,0.53,40.694507,-73.929107,384.6666666666667,409.0
13K670,0.0,2.0,1.0,2.0,0.0,0.52,1.71,2.49,1.16,0.75,40.695332,-73.969243,463.6666666666667,472.0
13K670,1.0,6.0,8.0,3.0,1.0,0.46,1.65,2.77,1.17,0.75,40.695332,-73.969243,463.6666666666667,472.0
13K670,0.0,3.0,6.0,1.0,2.0,0.38,1.71,2.38,0.98,0.82,40.695332,-73.969243,463.6666666666667,472.0
22K555,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.649404,-73.97173599999999,450.6666666666667,456.0
22K555,0.0,1.0,1.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.649404,-73.97173599999999,450.6666666666667,456.0
22K555,0.0,1.0,0.0,1.0,0.0,0.28,1.11,1.74,0.75,0.53,40.649404,-73.97173599999999,450.6666666666667,456.0
16K498,0.0,11.0,5.0,7.0,2.0,0.33,1.32,1.76,0.83,0.59,40.688831,-73.920906,364.0,372.0
16K498,1.0,2.0,10.0,1.0,2.0,0.31,1.12,1.82,0.79,0.51,40.688831,-73.920906,364.0,372.0
16K498,0.0,2.0,12.0,1.0,0.0,0.28,1.11,1.74,0.75,0.53,40.688831,-73.920906,364.0,372.0
13K595,0.0,1.0,2.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.68538,-73.954302,437.3333333333333,443.0
13K595,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.68538,-73.954302,437.3333333333333,443.0
13K595,0.0,2.0,1.0,2.0,0.0,0.27,0.9,1.67,0.63,0.44,40.68538,-73.954302,437.3333333333333,443.0
05M499,0.0,10.0,8.0,6.0,3.0,0.86,3.26,5.55,2.17,1.29,40.824319,-73.93712,458.0,474.0
05M499,2.0,6.0,7.0,4.0,4.0,0.89,3.22,5.07,2.18,1.64,40.824319,-73.93712,458.0,474.0
05M499,1.0,5.0,10.0,2.0,3.0,0.64,3.02,5.77,1.72,1.54,40.824319,-73.93712,458.0,474.0
04M555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.793763,-73.949381,407.0,421.0
02M408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.761448,-73.988019,507.3333333333333,490.0
01M539,0.0,3.0,4.0,2.0,1.0,0.81,3.95,6.51,2.3,1.78,40.718895,-73.97930799999999,540.3333333333334,574.0
01M539,0.0,2.0,3.0,1.0,1.0,0.82,2.97,5.58,1.79,1.67,40.718895,-73.97930799999999,540.3333333333334,574.0
01M539,0.0,3.0,2.0,3.0,0.0,0.9,3.5,7.25,2.55,1.45,40.718895,-73.97930799999999,540.3333333333334,574.0
01M509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.720581,-73.98564499999999,402.3333333333333,433.0
01M515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.720581,-73.98564499999999,401.6666666666667,557.0
05M369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.815256,-73.955325,359.0,353.0
05M367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.815256,-73.955325,354.0,366.0
02M655,0.0,5.0,3.0,2.0,2.0,0.52,1.71,2.49,1.16,0.75,40.783625,-73.945637,412.0,424.0
02M655,2.0,4.0,12.0,4.0,2.0,0.31,1.12,1.82,0.79,0.51,40.783625,-73.945637,412.0,424.0
02M655,2.0,5.0,17.0,4.0,3.0,0.28,1.11,1.74,0.75,0.53,40.783625,-73.945637,412.0,424.0
04M409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.798884,-73.933319,361.3333333333333,357.0
02M047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.738548,-73.982455,394.0,400.0
01M292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713684,-73.986336,374.0,404.0
